Category,Order Date,Segment,Sales Target
Technology,2/7/2019,Corporate,108
Furniture,2/8/2019,Home Office,13
Furniture,2/11/2019,Consumer,1535
Office Supplies,2/11/2019,Consumer,143
Technology,2/11/2019,Consumer,241
Furniture,2/12/2019,Consumer,113
Office Supplies,2/14/2019,Consumer,16
Office Supplies,2/14/2019,Corporate,353
Technology,2/14/2019,Corporate,259
Office Supplies,2/15/2019,Corporate,18
Office Supplies,2/16/2019,Consumer,9
Office Supplies,2/17/2019,Consumer,50
Furniture,2/18/2019,Consumer,22
Office Supplies,2/18/2019,Consumer,12
Furniture,2/20/2019,Corporate,19
Office Supplies,2/20/2019,Home Office,12
Technology,2/20/2019,Corporate,69
Office Supplies,2/21/2019,Consumer,9
Office Supplies,2/22/2019,Consumer,19
Office Supplies,2/23/2019,Home Office,13
Office Supplies,2/24/2019,Consumer,60
Office Supplies,2/27/2019,Consumer,21
Furniture,3/1/2019,Consumer,1247
Furniture,3/1/2019,Home Office,545
Office Supplies,3/1/2019,Consumer,260
Office Supplies,3/1/2019,Home Office,19
Technology,3/1/2019,Home Office,5
Office Supplies,3/2/2019,Corporate,3
Office Supplies,3/2/2019,Home Office,43
Technology,3/2/2019,Corporate,138
Furniture,3/3/2019,Consumer,557
Furniture,3/3/2019,Corporate,287
Office Supplies,3/3/2019,Consumer,200
Office Supplies,3/3/2019,Corporate,54
Office Supplies,3/3/2019,Home Office,142
Technology,3/3/2019,Home Office,9
Office Supplies,3/4/2019,Consumer,315
Office Supplies,3/5/2019,Consumer,217
Technology,3/5/2019,Consumer,446
Furniture,3/7/2019,Consumer,49
Furniture,3/7/2019,Corporate,983
Office Supplies,3/7/2019,Consumer,227
Office Supplies,3/7/2019,Corporate,208
Office Supplies,3/7/2019,Home Office,115
Office Supplies,3/10/2019,Consumer,749
Furniture,3/11/2019,Consumer,8
Office Supplies,3/11/2019,Consumer,124
Office Supplies,3/11/2019,Corporate,178
Technology,3/11/2019,Corporate,646
Furniture,3/14/2019,Home Office,1220
Office Supplies,3/14/2019,Consumer,217
Office Supplies,3/14/2019,Corporate,12
Office Supplies,3/14/2019,Home Office,99
Technology,3/14/2019,Consumer,77
Technology,3/14/2019,Home Office,523
Furniture,3/15/2019,Consumer,43
Office Supplies,3/15/2019,Consumer,302
Technology,3/16/2019,Home Office,514
Furniture,3/17/2019,Corporate,3396
Office Supplies,3/17/2019,Consumer,250
Office Supplies,3/17/2019,Corporate,361
Furniture,3/18/2019,Home Office,1536
Office Supplies,3/18/2019,Home Office,1771
Technology,3/18/2019,Home Office,25729
Furniture,3/19/2019,Corporate,22
Office Supplies,3/19/2019,Corporate,66
Technology,3/19/2019,Corporate,445
Furniture,3/21/2019,Consumer,216
Office Supplies,3/21/2019,Consumer,79
Office Supplies,3/21/2019,Corporate,312
Technology,3/21/2019,Corporate,3080
Furniture,3/22/2019,Corporate,314
Office Supplies,3/22/2019,Consumer,79
Office Supplies,3/22/2019,Corporate,77
Office Supplies,3/23/2019,Consumer,330
Technology,3/23/2019,Consumer,623
Furniture,3/24/2019,Consumer,37
Office Supplies,3/24/2019,Consumer,23
Furniture,3/25/2019,Consumer,341
Office Supplies,3/25/2019,Consumer,42
Technology,3/25/2019,Consumer,46
Office Supplies,3/26/2019,Consumer,16
Office Supplies,3/26/2019,Corporate,33
Technology,3/26/2019,Corporate,84
Furniture,3/28/2019,Consumer,1102
Furniture,3/28/2019,Home Office,327
Office Supplies,3/28/2019,Consumer,7
Technology,3/28/2019,Home Office,314
Furniture,3/29/2019,Consumer,918
Furniture,3/30/2019,Consumer,212
Furniture,3/30/2019,Home Office,113
Office Supplies,3/30/2019,Consumer,184
Office Supplies,3/30/2019,Corporate,65
Office Supplies,3/30/2019,Home Office,342
Technology,3/30/2019,Home Office,219
Furniture,3/31/2019,Consumer,1193
Office Supplies,3/31/2019,Consumer,827
Office Supplies,3/31/2019,Corporate,2
Technology,3/31/2019,Consumer,78
Office Supplies,4/1/2019,Consumer,46
Office Supplies,4/1/2019,Corporate,63
Furniture,4/2/2019,Corporate,181
Office Supplies,4/2/2019,Consumer,242
Technology,4/2/2019,Consumer,892
Office Supplies,4/3/2019,Corporate,12
Technology,4/3/2019,Corporate,238
Furniture,4/4/2019,Consumer,5
Office Supplies,4/4/2019,Consumer,87
Office Supplies,4/4/2019,Corporate,278
Office Supplies,4/4/2019,Home Office,17
Technology,4/4/2019,Corporate,96
Office Supplies,4/5/2019,Consumer,832
Office Supplies,4/5/2019,Corporate,4795
Office Supplies,4/5/2019,Home Office,54
Technology,4/5/2019,Corporate,32
Furniture,4/6/2019,Corporate,763
Furniture,4/6/2019,Home Office,158
Office Supplies,4/6/2019,Corporate,241
Office Supplies,4/6/2019,Home Office,10
Technology,4/6/2019,Corporate,307
Technology,4/6/2019,Home Office,109
Furniture,4/7/2019,Consumer,9
Office Supplies,4/7/2019,Corporate,119
Office Supplies,4/7/2019,Home Office,52
Technology,4/7/2019,Corporate,535
Technology,4/7/2019,Home Office,199
Furniture,4/8/2019,Consumer,162
Furniture,4/8/2019,Corporate,1167
Furniture,4/8/2019,Home Office,109
Office Supplies,4/8/2019,Corporate,19
Office Supplies,4/8/2019,Home Office,44
Technology,4/8/2019,Home Office,340
Office Supplies,4/11/2019,Consumer,109
Technology,4/11/2019,Consumer,928
Technology,4/11/2019,Home Office,720
Furniture,4/12/2019,Corporate,312
Office Supplies,4/12/2019,Consumer,34
Office Supplies,4/12/2019,Corporate,58
Technology,4/12/2019,Corporate,1438
Office Supplies,4/13/2019,Corporate,548
Office Supplies,4/13/2019,Home Office,8
Technology,4/13/2019,Corporate,76
Furniture,4/15/2019,Home Office,163
Office Supplies,4/15/2019,Home Office,92
Office Supplies,4/16/2019,Corporate,39
Furniture,4/18/2019,Consumer,304
Office Supplies,4/18/2019,Consumer,167
Technology,4/18/2019,Consumer,444
Furniture,4/19/2019,Home Office,76
Office Supplies,4/19/2019,Consumer,141
Furniture,4/20/2019,Consumer,1326
Office Supplies,4/20/2019,Consumer,38
Office Supplies,4/21/2019,Consumer,16
Office Supplies,4/21/2019,Corporate,829
Office Supplies,4/22/2019,Corporate,258
Furniture,4/23/2019,Home Office,614
Office Supplies,4/23/2019,Corporate,2
Office Supplies,4/23/2019,Home Office,51
Furniture,4/25/2019,Home Office,1772
Office Supplies,4/25/2019,Home Office,313
Technology,4/25/2019,Consumer,287
Furniture,4/26/2019,Corporate,216
Office Supplies,4/26/2019,Corporate,17
Office Supplies,4/26/2019,Home Office,35
Office Supplies,4/28/2019,Corporate,731
Technology,4/28/2019,Consumer,1630
Technology,4/28/2019,Corporate,160
Furniture,4/29/2019,Consumer,63
Furniture,4/29/2019,Corporate,578
Office Supplies,4/29/2019,Consumer,16
Office Supplies,4/29/2019,Corporate,105
Technology,4/29/2019,Consumer,20
Office Supplies,4/30/2019,Consumer,1031
Technology,4/30/2019,Consumer,51
Office Supplies,5/2/2019,Consumer,25
Technology,5/2/2019,Consumer,422
Office Supplies,5/3/2019,Consumer,47
Office Supplies,5/3/2019,Home Office,24
Furniture,5/4/2019,Consumer,25
Furniture,5/4/2019,Corporate,10
Office Supplies,5/4/2019,Consumer,90
Office Supplies,5/4/2019,Corporate,62
Furniture,5/5/2019,Consumer,124
Office Supplies,5/5/2019,Consumer,38
Office Supplies,5/5/2019,Corporate,81
Office Supplies,5/6/2019,Home Office,267
Furniture,5/7/2019,Consumer,960
Office Supplies,5/7/2019,Consumer,23
Technology,5/8/2019,Consumer,1620
Office Supplies,5/9/2019,Corporate,148
Technology,5/9/2019,Consumer,229
Furniture,5/10/2019,Consumer,522
Office Supplies,5/10/2019,Consumer,222
Technology,5/10/2019,Consumer,1417
Furniture,5/11/2019,Consumer,61
Furniture,5/11/2019,Corporate,1031
Office Supplies,5/11/2019,Corporate,33
Office Supplies,5/11/2019,Home Office,124
Technology,5/11/2019,Consumer,195
Furniture,5/12/2019,Consumer,639
Furniture,5/13/2019,Corporate,296
Office Supplies,5/13/2019,Consumer,60
Office Supplies,5/13/2019,Corporate,8
Office Supplies,5/13/2019,Home Office,418
Technology,5/13/2019,Consumer,151
Furniture,5/14/2019,Corporate,342
Furniture,5/16/2019,Corporate,205
Technology,5/16/2019,Consumer,50
Office Supplies,5/17/2019,Home Office,85
Furniture,5/18/2019,Consumer,127
Office Supplies,5/18/2019,Consumer,17
Technology,5/18/2019,Consumer,725
Office Supplies,5/19/2019,Consumer,82
Furniture,5/20/2019,Corporate,131
Office Supplies,5/20/2019,Corporate,128
Technology,5/20/2019,Corporate,21
Furniture,5/21/2019,Consumer,94
Office Supplies,5/21/2019,Consumer,78
Office Supplies,5/21/2019,Corporate,2634
Office Supplies,5/21/2019,Home Office,788
Technology,5/21/2019,Corporate,624
Technology,5/22/2019,Consumer,168
Office Supplies,5/23/2019,Consumer,295
Technology,5/23/2019,Consumer,50
Office Supplies,5/24/2019,Consumer,108
Furniture,5/25/2019,Consumer,28
Office Supplies,5/25/2019,Consumer,88
Furniture,5/26/2019,Consumer,562
Furniture,5/26/2019,Corporate,317
Office Supplies,5/26/2019,Consumer,116
Office Supplies,5/26/2019,Home Office,44
Technology,5/26/2019,Corporate,303
Furniture,5/27/2019,Corporate,510
Office Supplies,5/27/2019,Consumer,15
Office Supplies,5/27/2019,Corporate,356
Technology,5/27/2019,Consumer,1298
Office Supplies,5/28/2019,Consumer,138
Technology,5/28/2019,Corporate,88
Furniture,5/30/2019,Consumer,313
Office Supplies,5/30/2019,Consumer,77
Office Supplies,5/30/2019,Corporate,309
Technology,5/30/2019,Corporate,1160
Technology,5/31/2019,Consumer,781
Furniture,6/1/2019,Consumer,20
Furniture,6/1/2019,Home Office,2142
Office Supplies,6/1/2019,Corporate,194
Office Supplies,6/1/2019,Home Office,1808
Technology,6/1/2019,Consumer,891
Furniture,6/2/2019,Home Office,62
Office Supplies,6/2/2019,Consumer,347
Office Supplies,6/2/2019,Home Office,62
Technology,6/2/2019,Consumer,218
Furniture,6/3/2019,Consumer,497
Office Supplies,6/3/2019,Consumer,156
Office Supplies,6/3/2019,Home Office,15
Furniture,6/4/2019,Consumer,458
Office Supplies,6/4/2019,Consumer,17
Office Supplies,6/4/2019,Home Office,17
Furniture,6/6/2019,Corporate,1091
Office Supplies,6/6/2019,Consumer,127
Office Supplies,6/6/2019,Corporate,162
Office Supplies,6/6/2019,Home Office,99
Furniture,6/7/2019,Consumer,237
Office Supplies,6/7/2019,Corporate,13
Furniture,6/8/2019,Consumer,615
Furniture,6/8/2019,Corporate,158
Office Supplies,6/8/2019,Consumer,1745
Furniture,6/9/2019,Consumer,2909
Furniture,6/9/2019,Corporate,38
Office Supplies,6/9/2019,Consumer,168
Office Supplies,6/9/2019,Corporate,91
Office Supplies,6/9/2019,Home Office,76
Technology,6/9/2019,Consumer,1891
Technology,6/9/2019,Home Office,71
Office Supplies,6/10/2019,Corporate,482
Office Supplies,6/13/2019,Corporate,14
Furniture,6/14/2019,Home Office,209
Furniture,6/15/2019,Corporate,961
Office Supplies,6/15/2019,Consumer,39
Office Supplies,6/15/2019,Corporate,8
Furniture,6/16/2019,Consumer,693
Office Supplies,6/16/2019,Consumer,102
Furniture,6/17/2019,Consumer,7
Office Supplies,6/17/2019,Consumer,3313
Technology,6/17/2019,Consumer,63
Technology,6/18/2019,Consumer,133
Furniture,6/20/2019,Consumer,183
Office Supplies,6/20/2019,Consumer,1005
Technology,6/20/2019,Consumer,565
Furniture,6/21/2019,Consumer,117
Office Supplies,6/21/2019,Consumer,271
Technology,6/21/2019,Consumer,4043
Furniture,6/22/2019,Consumer,1004
Office Supplies,6/22/2019,Consumer,699
Technology,6/22/2019,Consumer,294
Office Supplies,6/23/2019,Consumer,22
Technology,6/23/2019,Consumer,75
Furniture,6/24/2019,Consumer,4
Furniture,6/25/2019,Corporate,470
Office Supplies,6/25/2019,Corporate,74
Technology,6/25/2019,Corporate,248
Furniture,6/27/2019,Consumer,86
Office Supplies,6/27/2019,Consumer,318
Technology,6/27/2019,Consumer,224
Furniture,6/28/2019,Consumer,1081
Office Supplies,6/28/2019,Consumer,395
Office Supplies,6/28/2019,Corporate,6
Office Supplies,6/29/2019,Consumer,41
Office Supplies,6/30/2019,Consumer,713
Office Supplies,6/30/2019,Corporate,80
Office Supplies,7/1/2019,Corporate,23
Technology,7/1/2019,Corporate,593
Office Supplies,7/2/2019,Consumer,5
Technology,7/2/2019,Consumer,78
Office Supplies,7/4/2019,Consumer,34
Office Supplies,7/4/2019,Corporate,178
Furniture,7/5/2019,Corporate,254
Office Supplies,7/5/2019,Consumer,579
Office Supplies,7/5/2019,Corporate,15
Office Supplies,7/5/2019,Home Office,192
Technology,7/5/2019,Consumer,475
Furniture,7/6/2019,Home Office,464
Technology,7/6/2019,Consumer,498
Furniture,7/7/2019,Consumer,205
Furniture,7/8/2019,Consumer,56
Furniture,7/8/2019,Corporate,523
Office Supplies,7/8/2019,Corporate,181
Furniture,7/9/2019,Home Office,127
Office Supplies,7/9/2019,Corporate,23
Office Supplies,7/9/2019,Home Office,103
Furniture,7/11/2019,Corporate,901
Office Supplies,7/11/2019,Consumer,82
Office Supplies,7/11/2019,Corporate,182
Technology,7/11/2019,Consumer,652
Technology,7/11/2019,Corporate,184
Furniture,7/12/2019,Consumer,121
Furniture,7/12/2019,Corporate,768
Furniture,7/12/2019,Home Office,543
Office Supplies,7/12/2019,Consumer,48
Office Supplies,7/12/2019,Corporate,7
Office Supplies,7/12/2019,Home Office,321
Technology,7/12/2019,Consumer,21
Technology,7/12/2019,Home Office,258
Furniture,7/13/2019,Corporate,309
Furniture,7/14/2019,Consumer,30
Office Supplies,7/14/2019,Consumer,90
Office Supplies,7/14/2019,Corporate,17
Office Supplies,7/14/2019,Home Office,65
Technology,7/14/2019,Consumer,37
Technology,7/14/2019,Home Office,41
Office Supplies,7/15/2019,Corporate,6
Technology,7/15/2019,Corporate,3
Furniture,7/18/2019,Home Office,280
Office Supplies,7/18/2019,Consumer,15
Furniture,7/19/2019,Corporate,77
Office Supplies,7/19/2019,Corporate,26
Office Supplies,7/19/2019,Home Office,7
Technology,7/19/2019,Corporate,335
Furniture,7/20/2019,Consumer,43
Furniture,7/20/2019,Home Office,858
Office Supplies,7/20/2019,Consumer,260
Office Supplies,7/20/2019,Corporate,482
Office Supplies,7/20/2019,Home Office,298
Technology,7/20/2019,Corporate,41
Furniture,7/21/2019,Corporate,1819
Office Supplies,7/21/2019,Corporate,164
Technology,7/21/2019,Consumer,37
Furniture,7/22/2019,Consumer,773
Office Supplies,7/22/2019,Consumer,306
Office Supplies,7/22/2019,Home Office,20
Technology,7/22/2019,Consumer,171
Office Supplies,7/23/2019,Consumer,18
Office Supplies,7/23/2019,Corporate,45
Technology,7/23/2019,Consumer,1507
Technology,7/23/2019,Corporate,914
Furniture,7/25/2019,Consumer,69
Office Supplies,7/25/2019,Consumer,8736
Office Supplies,7/25/2019,Home Office,22
Furniture,7/26/2019,Consumer,800
Office Supplies,7/26/2019,Consumer,2145
Technology,7/26/2019,Consumer,1454
Technology,7/26/2019,Corporate,109
Office Supplies,7/27/2019,Corporate,315
Technology,7/27/2019,Consumer,205
Furniture,7/28/2019,Consumer,129
Office Supplies,7/28/2019,Consumer,69
Furniture,7/30/2019,Corporate,1190
Furniture,8/1/2019,Corporate,48
Office Supplies,8/1/2019,Consumer,20
Office Supplies,8/1/2019,Corporate,152
Office Supplies,8/1/2019,Home Office,5
Office Supplies,8/2/2019,Home Office,779
Technology,8/2/2019,Home Office,18
Furniture,8/3/2019,Consumer,203
Office Supplies,8/3/2019,Consumer,181
Office Supplies,8/3/2019,Home Office,84
Office Supplies,8/4/2019,Consumer,1553
Office Supplies,8/4/2019,Corporate,376
Technology,8/4/2019,Consumer,404
Technology,8/4/2019,Corporate,263
Furniture,8/5/2019,Consumer,705
Furniture,8/5/2019,Corporate,1179
Office Supplies,8/5/2019,Consumer,178
Office Supplies,8/5/2019,Corporate,101
Technology,8/5/2019,Consumer,14
Technology,8/5/2019,Corporate,143
Technology,8/6/2019,Consumer,273
Furniture,8/8/2019,Consumer,520
Furniture,8/8/2019,Home Office,48
Office Supplies,8/8/2019,Consumer,454
Office Supplies,8/8/2019,Home Office,208
Technology,8/8/2019,Consumer,1637
Technology,8/8/2019,Home Office,909
Office Supplies,8/9/2019,Consumer,2018
Office Supplies,8/9/2019,Corporate,17
Office Supplies,8/9/2019,Home Office,22
Technology,8/9/2019,Corporate,164
Technology,8/9/2019,Home Office,1376
Furniture,8/11/2019,Consumer,12
Office Supplies,8/11/2019,Consumer,461
Furniture,8/12/2019,Consumer,80
Office Supplies,8/12/2019,Consumer,13
Office Supplies,8/12/2019,Corporate,198
Office Supplies,8/12/2019,Home Office,269
Technology,8/12/2019,Consumer,1154
Technology,8/12/2019,Home Office,173
Furniture,8/15/2019,Consumer,193
Office Supplies,8/15/2019,Consumer,661
Furniture,8/16/2019,Consumer,725
Office Supplies,8/17/2019,Corporate,167
Technology,8/17/2019,Corporate,340
Furniture,8/19/2019,Consumer,600
Furniture,8/19/2019,Corporate,318
Office Supplies,8/19/2019,Consumer,103
Office Supplies,8/19/2019,Corporate,410
Furniture,8/20/2019,Consumer,379
Furniture,8/20/2019,Corporate,440
Office Supplies,8/20/2019,Corporate,835
Office Supplies,8/22/2019,Consumer,20
Office Supplies,8/22/2019,Home Office,4
Furniture,8/23/2019,Consumer,4
Office Supplies,8/23/2019,Consumer,352
Office Supplies,8/23/2019,Corporate,52
Office Supplies,8/23/2019,Home Office,18
Technology,8/23/2019,Consumer,141
Furniture,8/24/2019,Corporate,12
Office Supplies,8/24/2019,Corporate,40
Furniture,8/25/2019,Corporate,6
Office Supplies,8/25/2019,Consumer,216
Office Supplies,8/25/2019,Corporate,101
Technology,8/25/2019,Consumer,998
Technology,8/25/2019,Corporate,88
Furniture,8/26/2019,Consumer,9
Office Supplies,8/26/2019,Consumer,18
Office Supplies,8/26/2019,Home Office,8
Technology,8/26/2019,Home Office,317
Furniture,8/27/2019,Corporate,1207
Office Supplies,8/27/2019,Consumer,43
Technology,8/27/2019,Consumer,184
Technology,8/27/2019,Corporate,563
Furniture,8/29/2019,Consumer,178
Office Supplies,8/29/2019,Consumer,583
Office Supplies,8/29/2019,Corporate,113
Office Supplies,8/30/2019,Consumer,118
Technology,8/31/2019,Consumer,102
Office Supplies,9/1/2019,Consumer,101
Technology,9/1/2019,Consumer,303
Furniture,9/2/2019,Consumer,60
Office Supplies,9/2/2019,Consumer,1908
Technology,9/2/2019,Consumer,709
Technology,9/2/2019,Corporate,588
Office Supplies,9/3/2019,Consumer,16
Office Supplies,9/3/2019,Home Office,8
Furniture,9/5/2019,Consumer,31
Office Supplies,9/5/2019,Consumer,256
Furniture,9/6/2019,Corporate,42
Office Supplies,9/6/2019,Corporate,58
Furniture,9/7/2019,Consumer,932
Furniture,9/7/2019,Corporate,46
Furniture,9/7/2019,Home Office,793
Office Supplies,9/7/2019,Consumer,378
Office Supplies,9/7/2019,Corporate,191
Office Supplies,9/7/2019,Home Office,74
Technology,9/7/2019,Consumer,512
Technology,9/7/2019,Corporate,458
Technology,9/7/2019,Home Office,265
Furniture,9/8/2019,Consumer,3720
Furniture,9/8/2019,Home Office,169
Office Supplies,9/8/2019,Consumer,1501
Office Supplies,9/8/2019,Corporate,17
Office Supplies,9/8/2019,Home Office,78
Technology,9/8/2019,Consumer,7365
Technology,9/8/2019,Corporate,113
Furniture,9/9/2019,Consumer,17
Furniture,9/9/2019,Corporate,684
Furniture,9/9/2019,Home Office,66
Office Supplies,9/9/2019,Consumer,124
Office Supplies,9/9/2019,Corporate,1610
Office Supplies,9/9/2019,Home Office,30
Technology,9/9/2019,Consumer,1485
Furniture,9/10/2019,Consumer,1742
Office Supplies,9/10/2019,Consumer,105
Office Supplies,9/10/2019,Home Office,8
Furniture,9/11/2019,Consumer,118
Furniture,9/12/2019,Consumer,3899
Furniture,9/12/2019,Home Office,35
Office Supplies,9/12/2019,Consumer,59
Office Supplies,9/12/2019,Corporate,156
Office Supplies,9/12/2019,Home Office,600
Technology,9/12/2019,Corporate,14
Technology,9/12/2019,Home Office,111
Furniture,9/13/2019,Consumer,16
Furniture,9/13/2019,Home Office,330
Office Supplies,9/13/2019,Consumer,114
Office Supplies,9/13/2019,Corporate,104
Technology,9/13/2019,Consumer,751
Furniture,9/14/2019,Consumer,552
Furniture,9/14/2019,Corporate,10
Office Supplies,9/14/2019,Consumer,1147
Office Supplies,9/14/2019,Corporate,100
Technology,9/14/2019,Consumer,3167
Furniture,9/15/2019,Consumer,15
Furniture,9/15/2019,Corporate,106
Office Supplies,9/15/2019,Consumer,16
Office Supplies,9/16/2019,Corporate,29
Furniture,9/17/2019,Consumer,35
Office Supplies,9/17/2019,Consumer,562
Office Supplies,9/17/2019,Home Office,6
Technology,9/17/2019,Consumer,116
Furniture,9/19/2019,Corporate,836
Office Supplies,9/19/2019,Consumer,73
Office Supplies,9/19/2019,Corporate,98
Office Supplies,9/19/2019,Home Office,5
Technology,9/19/2019,Consumer,2599
Technology,9/19/2019,Corporate,5915
Furniture,9/20/2019,Consumer,2672
Office Supplies,9/20/2019,Consumer,138
Office Supplies,9/20/2019,Corporate,12
Office Supplies,9/20/2019,Home Office,65
Technology,9/20/2019,Consumer,1989
Furniture,9/21/2019,Home Office,7
Office Supplies,9/21/2019,Consumer,233
Office Supplies,9/21/2019,Corporate,68
Office Supplies,9/21/2019,Home Office,101
Technology,9/21/2019,Consumer,1943
Furniture,9/22/2019,Consumer,670
Office Supplies,9/22/2019,Consumer,239
Office Supplies,9/22/2019,Corporate,338
Furniture,9/23/2019,Corporate,427
Office Supplies,9/23/2019,Consumer,10084
Office Supplies,9/23/2019,Corporate,11
Office Supplies,9/23/2019,Home Office,51
Technology,9/23/2019,Corporate,91
Office Supplies,9/24/2019,Consumer,212
Furniture,9/25/2019,Home Office,325
Office Supplies,9/25/2019,Home Office,59
Furniture,9/26/2019,Consumer,156
Furniture,9/26/2019,Corporate,20
Furniture,9/26/2019,Home Office,521
Office Supplies,9/26/2019,Corporate,165
Office Supplies,9/26/2019,Home Office,375
Technology,9/26/2019,Consumer,148
Technology,9/26/2019,Home Office,3
Furniture,9/27/2019,Consumer,592
Furniture,9/27/2019,Corporate,84
Office Supplies,9/27/2019,Consumer,82
Furniture,9/28/2019,Consumer,364
Office Supplies,9/28/2019,Corporate,158
Furniture,9/29/2019,Consumer,316
Furniture,9/29/2019,Corporate,443
Furniture,9/29/2019,Home Office,2331
Office Supplies,9/29/2019,Consumer,2626
Office Supplies,9/29/2019,Corporate,1713
Technology,9/29/2019,Consumer,604
Furniture,9/30/2019,Corporate,14
Office Supplies,9/30/2019,Consumer,189
Office Supplies,9/30/2019,Corporate,756
Office Supplies,10/1/2019,Home Office,5
Office Supplies,10/2/2019,Corporate,43
Technology,10/2/2019,Corporate,567
Furniture,10/3/2019,Consumer,293
Furniture,10/3/2019,Corporate,242
Office Supplies,10/3/2019,Consumer,98
Office Supplies,10/3/2019,Home Office,70
Technology,10/3/2019,Consumer,147
Furniture,10/4/2019,Consumer,637
Office Supplies,10/4/2019,Consumer,131
Office Supplies,10/5/2019,Consumer,96
Technology,10/5/2019,Consumer,100
Office Supplies,10/6/2019,Consumer,89
Office Supplies,10/6/2019,Corporate,390
Technology,10/6/2019,Consumer,10
Furniture,10/7/2019,Home Office,125
Office Supplies,10/7/2019,Corporate,102
Office Supplies,10/8/2019,Consumer,120
Technology,10/8/2019,Consumer,25
Office Supplies,10/9/2019,Consumer,126
Office Supplies,10/9/2019,Corporate,85
Technology,10/9/2019,Consumer,15
Furniture,10/10/2019,Home Office,157
Office Supplies,10/10/2019,Consumer,16
Office Supplies,10/10/2019,Corporate,234
Office Supplies,10/10/2019,Home Office,16
Technology,10/10/2019,Consumer,91
Technology,10/10/2019,Corporate,1564
Furniture,10/11/2019,Consumer,438
Furniture,10/11/2019,Corporate,10
Furniture,10/11/2019,Home Office,69
Office Supplies,10/11/2019,Consumer,460
Office Supplies,10/11/2019,Corporate,7
Technology,10/11/2019,Home Office,328
Office Supplies,10/12/2019,Consumer,40
Office Supplies,10/12/2019,Corporate,21
Furniture,10/13/2019,Consumer,1415
Furniture,10/13/2019,Corporate,268
Office Supplies,10/13/2019,Consumer,214
Office Supplies,10/13/2019,Corporate,23
Office Supplies,10/13/2019,Home Office,359
Technology,10/13/2019,Consumer,23
Technology,10/13/2019,Home Office,20
Furniture,10/14/2019,Consumer,1678
Office Supplies,10/14/2019,Consumer,440
Office Supplies,10/14/2019,Corporate,252
Technology,10/14/2019,Consumer,2090
Furniture,10/15/2019,Consumer,193
Office Supplies,10/15/2019,Consumer,7
Office Supplies,10/16/2019,Consumer,13
Technology,10/16/2019,Consumer,155
Furniture,10/17/2019,Consumer,5
Office Supplies,10/17/2019,Consumer,11
Technology,10/17/2019,Consumer,112
Furniture,10/18/2019,Corporate,1048
Office Supplies,10/18/2019,Consumer,58
Office Supplies,10/18/2019,Corporate,457
Technology,10/18/2019,Corporate,1520
Office Supplies,10/19/2019,Consumer,12
Office Supplies,10/19/2019,Corporate,162
Technology,10/19/2019,Corporate,128
Technology,10/19/2019,Home Office,344
Furniture,10/20/2019,Corporate,338
Office Supplies,10/20/2019,Consumer,212
Office Supplies,10/20/2019,Corporate,85
Office Supplies,10/20/2019,Home Office,510
Technology,10/20/2019,Home Office,278
Furniture,10/21/2019,Consumer,381
Furniture,10/21/2019,Corporate,650
Office Supplies,10/21/2019,Consumer,133
Office Supplies,10/21/2019,Corporate,255
